LEADERSHIP,COMMUNICATION,RESEARCH,TECHNICAL,TEACHING,QUANTITATIVE,CREATIVE,HELPING,ORGANIZATIONAL
Accomplished,Addressed,Clarified,Assembled,Adapted,Administered,Acted,Assessed,Approved
Achieved,Arbitrated,Collected,Built,Advised,Allocated,Composed,Assisted,Accelerated
Administered,Arranged,Concluded,Calculated,Clarified,Analyzed,Conceived,Clarified,Added
Analyzed,Authored,Conducted,Computed,Coached,Appraised,Conceptualized,Coached,Arranged
Assigned,Collaborated,Constructed,Designed,Communicated,Audited,Created,Counseled,Broadened
Attained,Convinced,Critiqued,Devised,Coordinated,Balanced,Customized,Demonstrated,Cataloged
Chaired,Corresponded,Derived,Engineered,Demystified,Budgeted,Designed,Diagnosed,Centralized
Consolidated,Delivered,Determined,Fabricated,Developed,Calculated,Developed,Educated,Changed
Contracted,Developed,Diagnosed,Installed,Enabled,Computed,Directed,Enhanced,Classified
Coordinated,Directed,Discovered,Maintained,Encouraged,Developed,Established,Expedited,Collected
Delegated,Documented,Evaluated,Operated,Evaluated,Forecasted,Fashioned,Facilitated,Compiled
Developed,Drafted,Examined,Optimized,Explained,Managed,Founded,Familiarized,Completed
Directed,Edited,Extracted,Overhauled,Facilitated,Marketed,Illustrated,Guided,Controlled
Earned,Energized,Formed,Programmed,Guided,Maximized,Initiated,Motivated,Defined
Evaluated,Enlisted,Identified,Remodeled,Informed,Minimized,Instituted,Participated,Dispatched
Executed,Formulated,Inspected,Repaired,Instructed,Planned,Integrated,Proposed,Executed
Handled,Influenced,Interpreted,Solved,Persuaded,Projected,Introduced,Provided,Expanded
Headed,Interpreted,Interviewed,Standardized,Set Goals,Researched,Invented,Referred,Gained
Impacted,Lectured,Investigated,Streamlined,Stimulated,,Originated,Rehabilitated,Gathered
Improved,Liaised,Modeled,Upgraded,Studied,,Performed,Represented,Generated
Increased,Mediated,Organized,,Taught,,Planned,Served,Implemented
Led,Moderated,Resolved,,Trained,,Published,Supported,Inspected
Mastered,Negotiated,Reviewed,,,,Redesigned,,Launched
Orchestrated,Persuaded,Summarized,,,,Revised,,Monitored
Organized,Presented,Surveyed,,,,Revitalized,,Operated
Oversaw,Promoted,Systematized,,,,Shaped,,Organized
Planned,Publicized,Tested,,,,Visualized,,Prepared
Predicted,Reconciled,,,,,,,Processed
Prioritized,Recruited,,,,,,,Purchased
Produced,Reported,,,,,,,Recorded
Proved,Rewrote,,,,,,,Recruited
Recommended,Spoke,,,,,,,Reinforced
Regulated,Suggested,,,,,,,Reviewed
Reorganized,Synthesized,,,,,,,Screened
Reviewed,Translated,,,,,,,Selected
Scheduled,Verbalized,,,,,,,Simplified
Spearheaded,Wrote,,,,,,,Sold
Strengthened,,,,,,,,Specified
Supervised,,,,,,,,Steered
Surpassed,,,,,,,,Structured
,,,,,,,,Systematized
,,,,,,,,Tabulated
,,,,,,,,Unified
,,,,,,,,Updated
,,,,,,,,Utilized
,,,,,,,,Validated
,,,,,,,,Verified
